Id,Prof/Choice,SW/Mobile,SW/Desktop,SW/Web,Tech/iOS,Tech/OSX,Tech/FrontendJS,Tech/NodeJS,Tech/HTML,Nonative/Dev,Nonative/Opinion,Xplat/Dev,Xplat/Opinion,Lang/Pref,Exp/JS,Exp/Node,Exp/iOS,App/Never,App/ObjC,App/Titanium,App/Cordova,App/Frontend,App/Best
166,Backend Engineer,0,0,1,0,0,0,1,0,0,1,0,1,Javascript,4,4,4,1,0,0,0,0,
169,Backend Engineer,1,1,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
172,Frontend Engineer,0,0,1,0,0,1,0,0,0,2,0,1,Javascript,5,5,5,0,0,0,1,0,PhoneGap / Apache Cordova
174,iOS Developer,1,1,0,1,0,1,0,1,1,1,1,2,Javascript,2,1,4,0,1,0,0,0,PhoneGap / Apache Cordova
175,Frontend Engineer,1,1,0,0,0,1,1,1,1,1,1,1,Javascript,4,4,2,0,0,0,1,0,PhoneGap / Apache Cordova
176,Frontend Engineer,1,0,1,0,0,1,1,1,0,2,0,2,Javascript,4,3,1,1,0,0,0,0,
177,Backend Engineer,0,0,1,0,0,1,1,1,0,1,0,2,Javascript,5,4,2,1,0,0,0,0,
179,Frontend Engineer,1,0,1,0,0,1,1,1,0,2,1,1,Javascript,5,4,1,0,0,0,1,1,PhoneGap / Apache Cordova
180,Frontend Engineer,1,0,1,1,0,1,1,1,1,1,1,1,Javascript,5,5,3,0,0,0,1,1,PhoneGap / Apache Cordova
181,Frontend Engineer,0,0,1,0,0,1,0,0,0,2,0,2,Javascript,4,5,4,0,1,0,0,0,Objective-C Foundation
183,,1,0,1,1,0,1,1,1,1,1,0,1,Javascript,4,4,3,0,1,0,1,0,Objective-C Foundation
184,Frontend Engineer,0,0,1,1,0,1,1,1,1,2,0,0,Javascript,5,3,2,0,1,0,1,0,PhoneGap / Apache Cordova
185,Frontend Engineer,0,0,1,0,0,1,0,1,0,2,0,2,Javascript,5,1,1,1,0,0,0,0,
186,Backend Engineer,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,4,4,3,0,0,0,1,0,PhoneGap / Apache Cordova
187,Backend Engineer,0,0,1,1,0,1,1,1,1,0,1,1,Javascript,5,4,2,0,1,0,0,0,
188,iOS Developer,1,0,1,1,0,1,1,1,0,2,0,1,Javascript,4,4,2,0,1,0,0,0,Objective-C Foundation
189,Backend Engineer,0,0,1,1,0,1,1,1,0,1,0,1,Javascript,5,5,3,0,1,0,0,0,Objective-C Foundation
190,Frontend Engineer,0,0,1,0,0,1,1,1,0,0,0,0,Javascript,4,3,1,1,0,0,0,0,
193,Backend Engineer,1,0,1,0,0,0,1,0,1,1,1,0,Javascript,4,5,2,0,0,1,1,0,Appcelerator Titanium
194,Frontend Engineer,0,0,1,1,0,1,1,1,1,1,1,1,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
195,Backend Engineer,1,1,1,1,0,1,1,1,1,1,0,2,Javascript,5,5,2,0,0,0,1,0,PhoneGap / Apache Cordova
196,Backend Engineer,0,0,1,0,0,1,1,1,1,2,1,,Javascript,5,5,1,1,0,0,0,0,
197,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,4,1,0,0,0,1,0,PhoneGap / Apache Cordova
198,Backend Engineer,1,0,1,0,0,1,0,1,0,2,0,2,Javascript,2,1,1,1,0,0,0,0,PhoneGap / Apache Cordova
199,Backend Engineer,1,0,1,1,0,0,1,0,1,0,1,0,Javascript,3,3,3,0,1,0,0,0,
200,,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,3,0,0,1,0,0,Appcelerator Titanium
201,Frontend Engineer,1,0,1,0,0,1,1,1,1,0,1,0,Javascript,4,4,3,0,0,0,1,1,Sencha Touch / jQuery Mobile
202,,0,0,1,0,1,1,1,1,1,1,1,1,Objective-C,5,5,2,0,1,0,1,0,
203,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,1,0,0,0,1,1,PhoneGap / Apache Cordova
204,,0,0,0,1,0,1,1,1,0,1,0,1,Javascript,4,3,3,0,1,0,0,0,Objective-C Foundation
205,Backend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,5,3,0,0,0,1,1,PhoneGap / Apache Cordova
206,,1,0,1,1,0,1,1,1,1,0,1,0,Objective-C,1,4,5,0,1,0,1,1,Objective-C Foundation
207,Frontend Engineer,1,0,1,1,0,1,0,1,0,2,0,2,Javascript,4,3,3,0,1,0,0,0,Objective-C Foundation
208,Backend Engineer,1,1,1,1,0,1,1,1,1,1,1,2,Javascript,5,4,1,0,1,0,1,1,PhoneGap / Apache Cordova
210,Frontend Engineer,0,0,1,0,0,0,1,0,1,0,1,0,Javascript,3,4,3,0,0,0,1,0,PhoneGap / Apache Cordova
211,Frontend Engineer,1,1,1,0,0,1,1,1,0,2,0,2,Javascript,5,5,2,1,0,0,1,0,PhoneGap / Apache Cordova
212,Backend Engineer,0,0,1,0,1,1,1,1,0,0,0,0,Javascript,4,4,,1,0,0,0,0,
213,Backend Engineer,0,0,1,0,0,0,1,0,0,1,0,2,Javascript,5,5,2,0,1,0,0,0,Objective-C Foundation
214,Backend Engineer,1,0,1,0,0,1,1,1,1,0,1,1,Javascript,4,3,2,0,0,0,0,1,Objective-C Foundation
215,Frontend Engineer,1,1,1,0,0,1,1,1,1,2,1,2,Javascript,5,5,3,0,0,0,1,0,PhoneGap / Apache Cordova
216,Frontend Engineer,1,1,1,1,0,1,0,1,1,0,1,1,Javascript,4,3,2,0,0,0,1,1,Sencha Touch / jQuery Mobile
217,,0,0,0,0,0,1,1,1,0,2,0,2,Javascript,4,5,1,1,0,0,0,0,
218,iOS Developer,1,0,1,1,0,1,1,1,1,1,1,1,Objective-C,3,4,4,0,1,0,1,0,PhoneGap / Apache Cordova
219,Frontend Engineer,0,0,1,0,0,1,0,1,0,2,0,1,Javascript,5,,,1,0,0,0,0,
221,Frontend Engineer,0,0,1,1,0,1,1,1,1,1,1,1,Javascript,5,5,4,0,1,0,1,1,PhoneGap / Apache Cordova
222,,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,4,3,,0,0,0,1,0,PhoneGap / Apache Cordova
223,Backend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,4,3,0,0,0,0,1,
225,iOS Developer,1,1,0,1,0,1,1,1,0,0,0,0,Objective-C,2,3,3,0,1,0,0,0,Objective-C Foundation
226,Backend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,3,3,3,0,0,1,1,0,PhoneGap / Apache Cordova
227,Backend Engineer,0,1,1,0,1,0,1,0,1,0,1,0,Javascript,5,5,3,0,0,1,1,0,PhoneGap / Apache Cordova
228,,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,4,4,0,0,0,1,1,PhoneGap / Apache Cordova
229,Backend Engineer,1,0,1,1,0,1,1,0,0,0,1,0,Objective-C,4,4,5,0,1,0,0,0,Objective-C Foundation
230,Backend Engineer,0,0,1,0,0,1,1,1,1,2,1,2,Javascript,3,2,1,1,0,0,1,1,PhoneGap / Apache Cordova
231,Backend Engineer,0,0,1,0,0,1,0,1,0,2,0,2,Javascript,4,4,2,0,0,0,1,0,
232,Frontend Engineer,0,0,1,0,1,1,1,1,0,0,0,1,Javascript,4,4,3,1,0,0,0,0,
233,iOS Developer,1,0,0,1,1,1,1,1,1,2,1,1,Objective-C,5,5,5,0,1,0,0,0,Objective-C Foundation
234,Frontend Engineer,0,1,0,1,0,1,0,1,1,1,0,1,Javascript,4,3,3,0,1,0,0,0,Objective-C Foundation
235,,1,1,1,1,0,1,1,1,1,0,1,0,Javascript,3,2,1,0,1,0,1,0,Objective-C Foundation
236,Frontend Engineer,1,0,1,1,1,1,1,1,1,1,1,1,Javascript,5,4,5,0,1,1,0,1,Appcelerator Titanium
237,Frontend Engineer,0,0,1,0,0,1,1,1,1,0,0,0,Javascript,4,4,1,0,1,0,0,0,
238,,1,0,1,0,0,1,1,1,1,0,1,0,Javascript,3,2,1,0,0,0,1,1,Sencha Touch / jQuery Mobile
239,Frontend Engineer,1,0,0,0,0,1,1,1,1,2,0,2,Javascript,5,4,3,1,0,0,0,0,PhoneGap / Apache Cordova
240,Frontend Engineer,0,0,1,1,0,1,1,1,0,2,0,2,Javascript,3,3,1,1,0,0,0,0,
241,,1,1,1,1,1,1,1,1,1,1,1,1,Javascript,5,5,4,0,1,1,1,0,Appcelerator Titanium
242,,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,4,3,1,0,0,0,1,0,PhoneGap / Apache Cordova
243,Frontend Engineer,1,0,1,0,0,1,1,1,1,2,1,2,Javascript,5,4,4,0,0,0,1,1,
244,Frontend Engineer,1,1,1,0,0,1,1,1,1,0,1,1,Javascript,3,2,,0,0,0,1,0,Sencha Touch / jQuery Mobile
245,Backend Engineer,1,0,1,0,0,1,1,1,1,1,1,1,Javascript,4,4,2,0,0,0,1,0,PhoneGap / Apache Cordova
246,iOS Developer,1,0,1,1,0,1,1,1,1,1,1,1,Objective-C,4,5,4,0,1,0,1,1,Objective-C Foundation
248,Backend Engineer,0,0,1,0,0,1,1,1,1,2,0,2,Javascript,5,5,1,1,0,0,0,0,
249,Frontend Engineer,0,0,1,0,0,1,1,1,1,1,1,1,Javascript,5,4,1,0,0,0,1,1,
250,Frontend Engineer,1,0,1,1,0,1,1,1,1,1,0,2,Javascript,5,4,2,0,0,0,0,0,
251,iOS Developer,1,0,0,1,0,0,0,0,1,1,1,1,Javascript,4,5,4,0,1,0,0,0,Objective-C Foundation
252,,1,0,1,0,0,1,1,1,0,1,0,1,Javascript,4,5,3,1,0,0,0,0,
254,,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,5,5,1,1,0,0,0,0,
255,,1,0,1,1,0,1,1,1,1,1,1,1,Javascript,4,5,3,0,1,0,1,0,Objective-C Foundation
256,Backend Engineer,0,0,1,0,0,1,1,1,0,1,1,0,Javascript,5,3,3,0,0,0,1,1,PhoneGap / Apache Cordova
257,Backend Engineer,0,0,1,0,0,1,1,1,0,2,0,2,Javascript,5,5,1,1,0,0,0,0,
